Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/8f941563-a7c7-4a34-a2e9-e056daeae921 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"8f941563-a7c7-4a34-a2e9-e056daeae921"} | 200 | 76.792 ms
Sun, 01 Nov 2020 04:43:00 GMT | DELETE | {} | /users/7aebdbed-1f53-4191-9c9f-97435ea0aa5d | {"id":"7aebdbed-1f53-4191-9c9f-97435ea0aa5d"} | 204 | 223.443 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236"} | 200 | 126.650 ms
Sun, 01 Nov 2020 04:43:00 GMT | DELETE | {} | /boards/44abd83c-3085-4d6c-9006-483658aa45b2 | {"id":"44abd83c-3085-4d6c-9006-483658aa45b2"} | 204 | 215.872 ms
Sun, 01 Nov 2020 04:43:00 GMT | DELETE | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/518cc955-9f34-412c-8d3f-4a885c6c8715 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"518cc955-9f34-412c-8d3f-4a885c6c8715"} | 204 | 67.818 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236"} | 200 | 90.204 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 244.264 ms
Sun, 01 Nov 2020 04:43:00 GMT | PUT | {"id":"8a65f3aa-9e56-435e-9a33-3e2a9367df63","title":"Autotest updated task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","columnId":null} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/8a65f3aa-9e56-435e-9a33-3e2a9367df63 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"8a65f3aa-9e56-435e-9a33-3e2a9367df63"} | 200 | 77.677 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 76.443 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/8a65f3aa-9e56-435e-9a33-3e2a9367df63 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"8a65f3aa-9e56-435e-9a33-3e2a9367df63"} | 200 | 70.803 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"title":"Task #1","order":1,"description":"Lorem ipsum","userId":"cde42564-5c45-4cb0-bd3b-e4838c4d0f36","boardId":"26db43b5-f014-468b-a875-0094c4921833"} | /boards/26db43b5-f014-468b-a875-0094c4921833/tasks | {"boardId":"26db43b5-f014-468b-a875-0094c4921833"} | 200 | 168.035 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"title":"Task #2","order":2,"description":"Lorem ipsum","userId":"cde42564-5c45-4cb0-bd3b-e4838c4d0f36","boardId":"26db43b5-f014-468b-a875-0094c4921833"} | /boards/26db43b5-f014-468b-a875-0094c4921833/tasks | {"boardId":"26db43b5-f014-468b-a875-0094c4921833"} | 200 | 201.296 ms
Sun, 01 Nov 2020 04:43:01 GMT | GET | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/8f941563-a7c7-4a34-a2e9-e056daeae921 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"8f941563-a7c7-4a34-a2e9-e056daeae921"} | 200 | 72.206 ms
Sun, 01 Nov 2020 04:43:01 GMT | DELETE | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks/8f941563-a7c7-4a34-a2e9-e056daeae921 | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236","taskId":"8f941563-a7c7-4a34-a2e9-e056daeae921"} | 204 | 67.694 ms
