Sat, 17 Oct 2020 19:22:04 GMT | DELETE | {} | /boards/0739cce6-92fe-4020-b821-e4986952edb8 | {"id":"0739cce6-92fe-4020-b821-e4986952edb8"} | 204 | 0.904 ms
Sat, 17 Oct 2020 19:23:28 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 20.249 ms
Sat, 17 Oct 2020 19:23:28 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b"} | 200 | 5.008 ms
Sat, 17 Oct 2020 19:23:28 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 3.380 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b"} | 200 | 6.866 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /boards | {} | 200 | 3.994 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b"} | 200 | 3.381 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /boards | {} | 200 | 2.672 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks/0a87930d-e6c4-4aaf-bcc0-936d3362283f | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b","taskId":"0a87930d-e6c4-4aaf-bcc0-936d3362283f"} | 200 | 3.762 ms
Sat, 17 Oct 2020 19:23:28 GMT | GET | {} | /users | {} | 200 | 4.545 ms
Sat, 17 Oct 2020 19:23:29 GMT | GET | {} | /boards/370bc218-40ad-4a49-a83e-f52fef7033f7 | {"id":"370bc218-40ad-4a49-a83e-f52fef7033f7"} | 200 | 3.158 ms
Sat, 17 Oct 2020 19:23:29 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b"} | 200 | 1.881 ms
Sat, 17 Oct 2020 19:23:29 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 2.237 ms
Sat, 17 Oct 2020 19:23:29 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 2.748 ms
Sat, 17 Oct 2020 19:23:29 GMT | DELETE | {} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks/223e59d3-849d-4572-853a-0b80df3f81a2 | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b","taskId":"223e59d3-849d-4572-853a-0b80df3f81a2"} | 204 | 3.318 ms
Sat, 17 Oct 2020 19:23:29 GMT | GET | {} | /users/fab5eba6-154c-4392-bb20-d180cb07fdf9 | {"id":"fab5eba6-154c-4392-bb20-d180cb07fdf9"} | 200 | 2.740 ms
Sat, 17 Oct 2020 19:23:29 GMT | DELETE | {} | /boards/212019a6-7b09-46fb-8466-8cf9327fbaae | {"id":"212019a6-7b09-46fb-8466-8cf9327fbaae"} | 204 | 3.160 ms
Sat, 17 Oct 2020 19:23:29 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b"} | 200 | 2.416 ms
Sat, 17 Oct 2020 19:23:29 GMT | DELETE | {} | /users/fab5eba6-154c-4392-bb20-d180cb07fdf9 | {"id":"fab5eba6-154c-4392-bb20-d180cb07fdf9"} | 204 | 2.515 ms
Sat, 17 Oct 2020 19:23:29 GMT | POST | {"title":"Autotest board","columns":[{"title":"Backlog","order":1},{"title":"Sprint","order":2}]} | /boards | {} | 200 | 1.979 ms
Sat, 17 Oct 2020 19:23:29 GMT | PUT | {"id":"7dcf4876-1ea8-4a1c-87eb-055114b6bd03","title":"Autotest updated task","order":0,"description":"Lorem ipsum","userId":null,"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b","columnId":null} | /boards/07a3d54a-7786-4a02-a0eb-97dd8059db6b/tasks/7dcf4876-1ea8-4a1c-87eb-055114b6bd03 | {"boardId":"07a3d54a-7786-4a02-a0eb-97dd8059db6b","taskId":"7dcf4876-1ea8-4a1c-87eb-055114b6bd03"} | 200 | 2.398 ms
Sat, 17 Oct 2020 19:23:30 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 2.129 ms
Sat, 17 Oct 2020 19:23:30 GMT | PUT | {"id":"465ad300-95db-4944-8f84-65825395776c","title":"Autotest updated board","columns":[{"id":"0c2a8f25-a76d-475f-bf92-7808b77a37c0","title":"Backlog","order":1},{"id":"29199327-4f71-4c1e-910f-9be464287867","title":"Sprint","order":2}]} | /boards/465ad300-95db-4944-8f84-65825395776c | {"id":"465ad300-95db-4944-8f84-65825395776c"} | 200 | 3.152 ms
